#front|back
這|[zhè] this; 这儿 zhèr here<br /><br />[zhèi] this (before classifier)
中|[zhōng] middle, in; 中国 Zhōngguó China<br /><br />[zhòng] hit (a target)
大|[dà] big; 多大? duōdà? how large?; 大小 dàxiǎo size; 大家 dàjiā everybody<br /><br />[dài] 大夫 dàifu doctor<br /><br />{Compare with 太 tài very and 木 mù tree}
來|[lái] come; 原来 yuánlái originally, as a matter of fact; 来年 láinián coming/next year(s)<br /><br />[lai] (when used as a verb complement); 起来 qǐlai get up
上|[shàng] above, on, over, top, (go) up, last, previous<br /><br />[shǎng] 上声 shǎngshēng 3rd tone in Mandarin<br /><br />[shang] (when used as a verb complement)<br /><br />{Compare with 下 xià under}
國|[guó] (=国家 guójiā) country, state, nation, {family name}>; 中国 Zhōngguó China; 美国 Měiguó USA
個,箇|[gè] {general and non-specific classifier}>; 个人 gèrén personal; 个人主页 gèrénzhùyè personal homepage<br /><br />[gě] 自个 zìgě oneself
到|[dào] to, towards, until, arrive, reach
說|[shuō] explain, scold, refer to, (=说话 shuōhuà) speak, say; 游说 yóushuō persuade<br /><br />[shuì] try to persuade; 游说 yóushuì lobbying
們|[men] {pluralizing suffix for pronouns and nouns referring to persons}>; 我们 wǒmen we; 人们 rénmen people, persons
為|[wèi] for, for the sake of, in order to, in this connection<br /><br />[wéi] do, act, act as, be, become; 认为 rènwéi think or believe that...; 以为 yǐwéi think or believe erroneously that...<br /><br />{Compare with 办 bàn do}
子|[zǐ] child, son; 子女 zǐnǚ sons and daughters; 儿子 érzi son<br /><br />[zi] (noun suffix); 桌子 zhuōzi table<br /><br />{Compare with 了 le {particle}>}
和|[hé] together, with, (F龢) harmony, gentle, mild, kind, {family name}>; 和平 hépíng peace<br /><br />[Hé] Japan<br /><br />[huo] 暖和 nuǎnhuo nice and warm<br /><br />[hè] join in singing, compose a poem in reply<br /><br />[huó] mix with water<br /><br />[huò] mix, blend<br /><br />[hú] complete a set in Mahjong
你|[nǐ] (Alternative feminine form: 妳 nǐ) you, your; 你们 nǐmen you (plural)
地|[dì] earth, ground, soil, place, position, distance; 地支 dìzhī the Twelve Terrestrial Branches<br /><br />[de] {adverbial particle: descripion + 地 + verb}>, ~ly; 快地走 kuàide zǒu walk quickly
出|[chū] go out, come out, in direction out from something, emit, issue, prouce; 出现 chūxiàn appear, emerge, (F齣) {classifier for operas and plays}>
道|[dào] way, path, channel, way, say, a streak (of light), doctrine, {classifier for rivers, topics, etc.}>, (=道教 Dàojiào) Taoism; 知道 zhīdao know<br /><br />[dǎo] (=导 dǎo) lead; 领道 = 领导 lǐngdǎo leader
也|[yě] also, as well; 也许 yěxǔ perhaps
時|[shí] period, season, (=时间 shíjiān, =时候 shíhou) time, (=小时 xiǎoshí) hour
年|[nián] year, {family name}>; 今年 jīnnián this year; 明年 míngnián next year; 去年 qùnián last year; 中年 zhōngnián middle age
得|[de] {adverbial particle: verb + 得 + descripion}>; 走得快 zǒude kuài walk quickly<br /><br />[dé] get, reach, achieve<br /><br />[děi] should
